,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,basement,sqft_living15,sqft_lot15,age_at_selling,log_price,renovated,zip_mean_price
0,2,0,1180,5650,0,0,0,1,2,1180,0,1340,5650,59,12.309982108920686,0,1
1,2,2,2570,7242,1,0,0,1,2,2170,1,1690,7639,63,13.195613839143922,1,1
2,1,0,770,10000,0,0,0,1,1,770,0,2720,8062,82,12.100712129872347,0,1
3,3,2,1960,5000,0,0,0,2,2,1050,1,1360,5000,49,13.311329476916953,0,2
4,2,1,1680,8080,0,0,0,1,3,1680,0,1800,7503,28,13.142166004700508,0,2
5,3,4,5420,101930,0,0,0,1,5,3890,1,4760,101930,13,14.0225247273486,0,2
6,2,2,1715,6819,1,0,0,1,2,1715,0,2238,6819,19,12.458774999085929,0,0
7,2,1,1060,9711,0,0,0,1,2,1060,0,1650,9711,52,12.583995250631936,0,1
8,2,0,1780,7470,0,0,0,1,2,1050,1,1780,8113,55,12.343658308482738,0,1
9,2,2,1890,6560,1,0,0,1,2,1890,0,2390,7570,12,12.685407602204794,0,1
10,2,2,3560,9796,0,0,0,1,3,1860,1,2210,8925,50,13.403775836842515,0,2
11,1,0,1160,6000,0,0,0,2,2,860,1,1330,6000,72,13.056223574899784,0,2
12,2,0,1430,19901,0,0,0,2,2,1430,0,1780,12697,87,12.644327576461329,0,1
13,2,1,1370,9680,0,0,0,2,2,1370,0,1370,10208,37,12.89921982609012,0,2
14,4,1,1810,4850,0,0,0,1,2,1810,0,1360,4850,115,13.180632285528304,0,2
15,3,2,2950,5000,1,0,1,1,4,1980,1,2140,4000,36,13.38472764187182,0,1
16,2,1,1890,14040,1,0,0,1,2,1890,0,1890,14018,20,12.886641043883259,0,1
17,3,0,1600,4300,0,0,0,2,2,1600,0,1610,4300,98,13.091904169919621,0,2
18,1,0,1200,9850,0,0,0,2,2,1200,0,1060,5095,93,12.14950229404178,0,0
19,2,0,1250,9774,0,0,0,2,2,1250,0,1280,8850,46,12.345834587905333,0,0
20,3,1,1620,4980,0,0,0,2,2,860,1,1400,4980,67,12.86099861326992,0,1
21,2,2,3050,44867,0,0,1,1,4,2330,1,4110,20336,46,14.508657738524219,0,3
22,4,2,2270,6300,1,0,0,1,3,2270,0,2240,7005,19,12.560244459250788,0,1
23,1,1,1070,9643,0,0,0,1,2,1070,0,1220,8386,29,12.439958293376286,0,0
24,2,2,2450,6500,1,0,0,2,3,2450,0,2200,6865,29,12.70381302974751,0,0
25,2,1,1710,4697,0,0,0,2,1,1710,0,1030,4705,73,12.358793732547838,0,0
26,2,1,2450,2691,1,0,0,1,3,1750,1,1760,3573,99,13.750438561220559,0,3
27,2,0,1400,1581,0,0,0,2,3,1400,0,1860,3861,105,13.410545324897761,0,3
28,2,1,1520,6380,0,0,0,1,2,790,1,1520,6235,66,12.989974189358584,0,2
29,3,2,2570,7173,1,0,0,1,3,2570,0,2630,6026,10,13.485616636703183,0,2
30,2,2,2320,3980,1,0,0,1,3,2320,0,2580,3980,11,13.271645080120082,0,2
31,1,1,1190,1265,2,0,0,1,2,1190,0,1390,1756,9,12.542544882151386,0,1
32,3,1,2330,5000,0,0,0,2,2,1510,1,1460,5000,85,13.440817108522863,0,2
33,2,0,1090,3000,0,0,0,2,3,1090,0,1570,5080,85,13.190022025878143,0,2
34,3,2,2060,6659,0,0,0,1,2,1280,1,2020,8720,33,12.683858415217964,0,1
35,2,2,2300,3060,0,0,0,1,3,1510,1,1590,3264,84,13.453104939316557,1,2
36,3,0,1660,34848,0,0,0,0,0,930,1,2160,11467,81,13.217673557208654,0,2
37,3,1,2360,6000,1,0,0,2,3,2360,0,1730,4700,110,13.369223455335854,0,2
38,3,0,1220,8075,0,0,0,0,2,890,1,1290,7800,46,12.388394202324129,0,0
39,3,2,2620,7553,1,0,0,1,3,2620,0,2620,11884,18,13.312983737012978,0,1
40,3,2,2570,5520,1,0,0,1,4,2570,0,2470,5669,14,13.345506928718539,0,2
41,3,2,4220,24186,0,0,0,1,3,2600,1,2410,30617,30,13.560618308335483,0,1
42,4,2,3595,5639,1,0,0,1,4,3595,0,3625,5639,0,13.666998948650464,0,2
43,2,0,1570,2280,1,0,0,1,2,1570,0,1580,2640,92,13.437174117244362,0,3
44,2,0,1280,9656,0,0,0,2,1,920,1,1340,8808,55,12.641096555879882,0,1
45,2,2,3160,13603,1,0,0,1,3,3160,0,3050,9232,11,13.098070684835283,0,1
46,2,0,990,8528,0,0,0,1,1,990,0,1228,8840,49,12.257193425037888,0,0
47,3,2,2290,13416,1,0,0,2,4,2290,0,2680,13685,33,13.573438996764546,0,2
48,2,1,1250,5963,0,0,0,2,2,1250,0,970,5100,62,13.017002861746503,0,2
49,2,2,2753,65005,0,1,1,2,4,2165,1,2680,72513,62,14.115615150414612,0,1
50,2,0,1190,9199,0,0,0,1,2,1190,0,1190,9364,59,12.337100907936577,0,0
51,4,2,3150,9134,0,0,0,2,3,1640,1,1990,9133,49,12.751299696013497,0,1
52,2,1,1410,4080,0,0,0,2,2,1000,1,1410,4080,64,13.304684934198283,0,2
53,1,1,1980,8550,0,0,0,1,2,990,1,1480,6738,34,13.279367126213993,0,2
54,4,2,2730,6000,0,0,0,1,3,2130,1,2730,6000,88,13.732128949025222,0,3
55,3,2,2830,5000,1,0,0,1,4,2830,0,1950,5000,19,13.693342923990066,0,3
56,3,2,2250,4495,1,0,0,1,2,2250,0,2250,4500,6,12.58621994565405,0,1
57,2,2,2420,4750,1,0,0,1,3,2420,0,2690,4750,12,12.614865543731012,0,1
58,4,3,3250,14342,1,0,1,2,3,3250,0,2960,11044,46,13.765269341527528,0,2
59,3,2,1850,9976,1,0,0,1,3,1850,0,2270,8542,24,12.971540487669746,0,1
60,2,2,2150,21235,0,0,1,2,3,1590,1,2570,18900,55,13.38472764187182,0,1
61,2,1,1260,8400,0,0,0,1,2,1260,0,1290,8750,60,12.57418196709457,0,0
62,2,1,2519,8690,1,0,0,2,3,2519,0,2500,9500,41,13.132313708257497,0,1
63,2,1,1540,1044,2,0,0,1,3,1540,0,1580,3090,0,13.215853720491667,0,2
64,2,2,1660,6000,0,0,0,1,2,1110,1,1440,4080,35,12.959844447906553,0,2
65,2,2,2770,3809,0,0,0,2,2,1770,1,1440,4000,89,12.668626720622465,0,2
66,3,2,2720,11049,1,0,0,1,5,2720,0,2750,11049,25,13.790192749979985,0,3
67,3,2,2240,4648,1,0,0,1,2,2240,0,2221,4557,9,12.567237494741757,0,0
68,2,0,1000,12070,0,0,0,2,2,1000,0,1010,12635,46,12.225875272826354,0,1
